id,session_id,player_id,timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z,orientation_x,orientation_y,orientation_z,battery_level,created_at
d26e37e6-6615-46db-80c8-e68388a99fba,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,0,0.05,0.02,0.07,0.01,0.03,0,-41.25,3.12,25.12,-136.15,-94.94,44.29,3657,2025-03-31 16:09:32.552731+00
47b6d3e1-b880-4fcb-8475-d54ea977700f,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.1,0.05,0.02,0.07,0,0.02,-0.01,-41.25,3.12,25.12,-136.15,-94.93,44.29,3656,2025-03-31 16:09:32.552731+00
e22f2949-a070-4704-9130-a39297e3a351,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.2,0.05,0.02,0.07,0,0,0.01,-41.25,3.12,25.12,-136.04,-94.91,44.18,3657,2025-03-31 16:09:32.552731+00
ec9df949-edfd-40d4-aabd-41a1951128d5,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.3,0.05,0.02,0.07,0,0.02,0,-41.25,3.12,25.12,-136.06,-94.91,44.19,3656,2025-03-31 16:09:32.552731+00
20a16329-5481-4ee9-8bee-81afaea0a6e4,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.4,0.05,0.02,0.07,0,0.03,0,-41.25,3.12,25.12,-136.19,-94.94,44.33,3657,2025-03-31 16:09:32.552731+00
635eca9c-d2fe-4018-a9c4-9061e5367c86,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.5,0.05,0.02,0.07,0,0.03,0,-41.25,3.12,25.12,-136.19,-94.94,44.33,3654,2025-03-31 16:09:32.552731+00
b0adf6dd-f707-4611-bde9-9aa6ee61c4b9,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.6,0.05,0.02,0.07,0,-0.05,0,-41.25,3.12,25.12,-136.38,-94.96,44.52,3657,2025-03-31 16:09:32.552731+00
0daf254f-6757-47b3-b976-ea74850f688a,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.7,0.05,0.02,0.07,0,-0.07,0,-41.25,3.12,25.12,-136.36,-94.96,44.49,3659,2025-03-31 16:09:32.552731+00
f5caad2f-da0c-4785-9458-e1ea60fe647a,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.8,0.05,0.02,0.07,-0.01,-0.01,-0.01,-41.25,3.12,25.12,-136.39,-94.96,44.51,3657,2025-03-31 16:09:32.552731+00
64be3f51-6715-4b55-bf12-116b2313e104,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.9,0.05,0.02,0.07,0.01,0.06,0,-41.25,3.12,25.12,-136.8,-95,44.9,3657,2025-03-31 16:09:32.552731+00
5cd8d0fe-3512-45cb-8825-f6dcd7de2716,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,1,0.05,0.02,0.07,0,0.04,-0.01,-41.25,3.12,25.12,-136.39,-94.94,44.5,3672,2025-03-31 16:09:32.703928+00
8573758e-1833-4cf8-ba5b-99c3b3cdf537,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,1.1,0.17,0,-0.13,0.01,0.09,0,-41.25,3.12,25.12,-136.91,-95.03,45.04,3657,2025-03-31 16:09:32.703928+00
337ee176-e956-48da-b4f6-433a69fa81c8,1b6710f1-177b-4e51-b7d2-76ad31c66ca1,f50b0082-d68f-467e-9784-9f3aaf467fe5,1.2,-0.25,0.08,0.16,0,0.02,0,-41.25,3.12,25.12,-137.71,-95.16,45.86,3656,2025-03-31 16:09:32.703928+00
