id,session_id,player_id,timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z,orientation_x,orientation_y,orientation_z,battery_level,created_at
1b2df004-ec24-484e-852f-28958992cd8a,3e4e5fc2-4a42-48f7-9956-783de76e9842,f50b0082-d68f-467e-9784-9f3aaf467fe5,0,0.02,-0.02,-0.04,0,-0.01,0,-40.38,2.19,27.38,-165.07,-98.83,75.55,3614,2025-03-31 16:12:14.835353+00
c0c06f2d-d1a4-420b-b7ca-c56e1d83c69c,3e4e5fc2-4a42-48f7-9956-783de76e9842,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.1,0.02,-0.02,-0.04,0,-0.01,0,-40.38,2.19,27.38,-165.01,-98.79,75.47,3625,2025-03-31 16:12:14.835353+00
c5ebc5e4-4065-4514-9046-80d58b76837f,3e4e5fc2-4a42-48f7-9956-783de76e9842,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.2,0.02,-0.02,-0.04,0.01,0.06,0,-40.38,2.19,27.38,-164.91,-98.74,75.36,3625,2025-03-31 16:12:14.835353+00
aaa8275d-c4c2-4b88-b554-ae7d5915a99b,3e4e5fc2-4a42-48f7-9956-783de76e9842,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.3,0.02,-0.02,-0.04,0,0.03,0,-40.38,2.19,27.38,-164.9,-98.75,75.36,3624,2025-03-31 16:12:14.835353+00
6449a96f-8de2-4e28-9014-1be360e1055e,3e4e5fc2-4a42-48f7-9956-783de76e9842,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.4,0.02,-0.02,-0.04,0.01,0.03,0,-40.38,2.19,27.38,-164.9,-98.75,75.36,3624,2025-03-31 16:12:14.835353+00
7606253e-f248-43e6-ba42-2d9d58abb0b9,3e4e5fc2-4a42-48f7-9956-783de76e9842,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.5,0.02,-0.02,-0.04,0,0.04,0,-40.38,2.19,27.38,-164.75,-98.67,75.21,3625,2025-03-31 16:12:14.835353+00
0077c4f4-bd83-4de6-b8fa-44d407ff750a,3e4e5fc2-4a42-48f7-9956-783de76e9842,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.6,0.02,-0.02,-0.04,0,0.08,0,-40.38,2.19,27.38,-164.65,-98.63,75.12,3625,2025-03-31 16:12:14.835353+00
59574021-7cbd-4234-b025-ceda74755042,3e4e5fc2-4a42-48f7-9956-783de76e9842,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.7,0.02,-0.02,-0.04,0,0.06,0,-40.38,2.19,27.38,-164.77,-98.67,75.25,3625,2025-03-31 16:12:14.835353+00
b92f0385-6a39-4a5c-bd11-dec768346d77,3e4e5fc2-4a42-48f7-9956-783de76e9842,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.8,0.02,-0.02,-0.04,-0.04,-0.02,0.01,-40.38,2.19,27.38,-164.81,-98.7,75.32,3625,2025-03-31 16:12:14.835353+00
d6ad5561-9fed-4e78-814b-711f9f6e7361,3e4e5fc2-4a42-48f7-9956-783de76e9842,f50b0082-d68f-467e-9784-9f3aaf467fe5,0.9,0.02,-0.02,-0.04,0.02,0.01,0,-40.38,2.19,27.38,-164.85,-98.66,75.23,3624,2025-03-31 16:12:14.835353+00
